,datetime,wind_speed,wind_deg,wind_gust
0,2023-10-28 21:00:00,2.92,3.63,3.63
1,2023-10-29 00:00:00,2.54,3.31,3.31
2,2023-10-29 03:00:00,2.73,2.71,2.71
3,2023-10-29 06:00:00,2.59,2.31,2.31
4,2023-10-29 09:00:00,1.36,2.61,2.61
5,2023-10-29 12:00:00,0.56,3.2,3.2
6,2023-10-29 15:00:00,0.58,1.0,1.0
7,2023-10-29 18:00:00,1.93,1.7,1.7
8,2023-10-29 21:00:00,2.15,2.01,2.01
9,2023-10-30 00:00:00,1.66,1.61,1.61
10,2023-10-30 03:00:00,0.94,0.92,0.92
11,2023-10-30 06:00:00,0.99,1.22,1.22
12,2023-10-30 09:00:00,1.28,1.4,1.4
13,2023-10-30 12:00:00,2.3,3.21,3.21
14,2023-10-30 15:00:00,2.33,3.91,3.91
15,2023-10-30 18:00:00,1.61,2.6,2.6
16,2023-10-30 21:00:00,3.91,6.7,6.7
17,2023-10-31 00:00:00,2.33,3.9,3.9
18,2023-10-31 03:00:00,3.05,6.2,6.2
19,2023-10-31 06:00:00,3.47,7.0,7.0
20,2023-10-31 09:00:00,6.92,14.51,14.51
21,2023-10-31 12:00:00,4.56,10.71,10.71
22,2023-10-31 15:00:00,2.54,5.01,5.01
23,2023-10-31 18:00:00,2.78,3.01,3.01
24,2023-10-31 21:00:00,2.78,2.61,2.61
25,2023-11-01 00:00:00,2.21,2.01,2.01
26,2023-11-01 03:00:00,1.64,1.52,1.52
27,2023-11-01 06:00:00,0.67,0.8,0.8
28,2023-11-01 09:00:00,0.64,0.8,0.8
29,2023-11-01 12:00:00,0.94,2.22,2.22
30,2023-11-01 15:00:00,0.74,0.81,0.81
31,2023-11-01 18:00:00,1.88,1.8,1.8
32,2023-11-01 21:00:00,2.05,1.91,1.91
33,2023-11-02 00:00:00,2.18,2.01,2.01
34,2023-11-02 03:00:00,1.47,1.71,1.71
35,2023-11-02 06:00:00,1.23,2.11,2.11
36,2023-11-02 09:00:00,1.33,2.11,2.11
37,2023-11-02 12:00:00,2.16,3.91,3.91
38,2023-11-02 15:00:00,2.64,5.21,5.21
39,2023-11-02 18:00:00,2.54,8.23,8.23
